feature,mean_abs_shap
numeric__SHOT_DISTANCE,0.26021016
numeric__player_prior_zone_fg_pct,0.11148323
numeric__player_prior_action_fg_pct,0.087637976
numeric__team_prior_zone_shots,0.067801185
numeric__LOC_Y,0.06569552
numeric__abs_angle_deg,0.049176097
numeric__opponent_allowed_2pt_shots,0.04111185
binary__is_dunk,0.038364056
numeric__player_prior_action_shots,0.032138105
numeric__team_prior_shots,0.031728182
binary__is_layup,0.028030094
numeric__opponent_allowed_zone_shots,0.027893854
numeric__player_action_residual,0.027549002
numeric__seconds_remaining_in_quarter,0.025834372
numeric__team_prior_2pt_shots,0.023975164
numeric__player_prior_zone_shots,0.02359794
numeric__team_prior_zone_fg_pct,0.022771982
numeric__opponent_allowed_3pt_shots,0.01925786
numeric__player_prior_3pt_pct,0.01908491
numeric__team_prior_2pt_pct,0.018878253
numeric__QUARTER,0.018806985
numeric__player_tendency_shot_profile_rate,0.018558243
numeric__opponent_allowed_shots,0.018404733
numeric__LOC_X,0.016411692
numeric__player_prior_2pt_shots,0.015515256
numeric__player_profile_residual,0.015359633
numeric__opponent_allowed_3pt_pct,0.015264296
categorical__shot_profile_Restricted Area | Less Than 8 ft. | dunk,0.0149374455
numeric__player_prior_shots,0.014413237
numeric__team_prior_3pt_pct,0.014311016
numeric__player_tendency_action_rate,0.013279681
numeric__opponent_allowed_fg_pct,0.012887936
numeric__player_prior_fg_pct,0.012887661
numeric__player_prior_2pt_pct,0.0121070035
numeric__team_prior_fg_pct,0.011926577
numeric__shot_angle_deg,0.011485204
numeric__player_tendency_zone_rate,0.011199337
numeric__player_zone_residual,0.010711032
categorical__action_category_running_jump,0.01068556
numeric__opponent_allowed_zone_fg_pct,0.009271202
numeric__opponent_allowed_2pt_pct,0.009237768
numeric__player_prior_3pt_shots,0.008496114
categorical__shot_profile_In The Paint (Non-RA) | Less Than 8 ft. | layup,0.008198823
categorical__BASIC_ZONE_Restricted Area,0.0076285983
numeric__team_prior_3pt_shots,0.006942185
categorical__action_category_layup,0.0058874185
categorical__shot_profile_Above the Break 3 | 24+ ft. | pullup,0.005489505
categorical__BASIC_ZONE_In The Paint (Non-RA),0.003372702
categorical__action_category_dunk,0.0030002925
categorical__action_category_other,0.0029632954
categorical__shot_profile_In The Paint (Non-RA) | 8-16 ft. | layup,0.0027346846
categorical__zone_range_Center | 8-16 ft.,0.0026018643
categorical__shot_profile_In The Paint (Non-RA) | 8-16 ft. | pullup,0.0024892
binary__is_late_clock,0.0022741638
categorical__action_category_fadeaway,0.0022139417
categorical__action_category_stepback,0.001955593
categorical__shot_profile_In The Paint (Non-RA) | Less Than 8 ft. | hook,0.0017581921
categorical__shot_profile_Above the Break 3 | 24+ ft. | running_jump,0.001369348
categorical__zone_range_Left Side Center | 24+ ft.,0.0013077321
categorical__shot_profile_Mid-Range | 16-24 ft. | fadeaway,0.0011755247
categorical__shot_profile_Mid-Range | 8-16 ft. | pullup,0.001108025
categorical__shot_profile_In The Paint (Non-RA) | 8-16 ft. | hook,0.0009962331
categorical__BASIC_ZONE_Above the Break 3,0.0009915805
categorical__action_category_jump_shot,0.0008030002
categorical__shot_profile_In The Paint (Non-RA) | 8-16 ft. | stepback,0.00077279226
categorical__action_category_hook,0.00075255474
categorical__shot_profile_Mid-Range | 16-24 ft. | pullup,0.0007299007
categorical__zone_range_Center | Less Than 8 ft.,0.00068393536
categorical__shot_profile_Mid-Range | 8-16 ft. | stepback,0.0006669763
categorical__zone_range_Left Side | 8-16 ft.,0.0005185509
categorical__zone_range_Center | 24+ ft.,0.000498558
categorical__shot_profile_Restricted Area | Less Than 8 ft. | layup,0.00044989047
categorical__zone_range_Right Side Center | 16-24 ft.,0.000442828
categorical__shot_profile_Right Corner 3 | 24+ ft. | pullup,0.00041153913
categorical__action_category_floater,0.00038651944
categorical__shot_profile_Above the Break 3 | 24+ ft. | stepback,0.00037117707
categorical__zone_range_Right Side | 8-16 ft.,0.00033858538
categorical__shot_profile_In The Paint (Non-RA) | Less Than 8 ft. | fadeaway,0.00032576759
categorical__action_category_turnaround,0.00032173557
categorical__action_category_pullup,0.00031615302
categorical__zone_range_Right Side Center | 24+ ft.,0.00030094208
categorical__shot_profile_Right Corner 3 | 24+ ft. | running_jump,0.00029298244
categorical__shot_profile_Mid-Range | 16-24 ft. | jump_shot,0.00027634864
categorical__shot_profile_Mid-Range | 8-16 ft. | fadeaway,0.00027626456
categorical__shot_profile_Left Corner 3 | 24+ ft. | jump_shot,0.0002752846
binary__is_overtime,0.00026006767
categorical__shot_profile_In The Paint (Non-RA) | 8-16 ft. | floater,0.0002549947
categorical__shot_profile_In The Paint (Non-RA) | Less Than 8 ft. | stepback,0.00024104171
categorical__shot_profile_Restricted Area | Less Than 8 ft. | floater,0.0002320504
binary__is_corner_3,0.00023178241
categorical__shot_profile_Right Corner 3 | 24+ ft. | stepback,0.00022783277
categorical__shot_profile_Left Corner 3 | 24+ ft. | pullup,0.00020372786
categorical__shot_profile_In The Paint (Non-RA) | Less Than 8 ft. | pullup,0.0001995797
categorical__shot_profile_Mid-Range | 8-16 ft. | turnaround,0.00016980608
categorical__shot_profile_In The Paint (Non-RA) | Less Than 8 ft. | other,0.00016588648
categorical__shot_profile_In The Paint (Non-RA) | Less Than 8 ft. | jump_shot,0.0001632681
categorical__shot_profile_In The Paint (Non-RA) | Less Than 8 ft. | dunk,0.00015507391
categorical__shot_profile_In The Paint (Non-RA) | 8-16 ft. | jump_shot,0.00015068034
categorical__shot_profile_Restricted Area | Less Than 8 ft. | jump_shot,0.0001492529
categorical__shot_profile_Right Corner 3 | 24+ ft. | jump_shot,0.00014550664
categorical__zone_range_Right Side | 16-24 ft.,0.00011165686
categorical__shot_profile_In The Paint (Non-RA) | Less Than 8 ft. | turnaround,0.000110315086
categorical__shot_profile_In The Paint (Non-RA) | 8-16 ft. | fadeaway,0.00010701207
categorical__shot_profile_In The Paint (Non-RA) | Less Than 8 ft. | floater,0.000102228805
categorical__shot_profile_Mid-Range | 8-16 ft. | jump_shot,0.00010052355
categorical__shot_profile_Mid-Range | 8-16 ft. | floater,9.9427714e-05
